supplier_id,supplier_name,raw_material_id,unit_cost,lead_time_days,moq,supplier_capacity,quality_rate,on_time_rate
S001,Bharat Sugar Mills,RM001,0.62,7,500,100000,0.985,0.96
S002,National Sweeteners,RM001,0.58,14,2000,150000,0.970,0.91
S003,Prime Sugar Co,RM001,0.70,4,500,80000,0.992,0.98
S004,FlavorChem India,RM002,4.30,14,100,12000,0.990,0.95
S005,Beverage Ingredients Ltd,RM002,4.10,21,250,18000,0.975,0.92
S006,Premium Flavors,RM002,4.60,7,100,8000,0.998,0.985
S007,GasTech,RM003,1.65,5,100,5000,0.995,0.97
S008,Industrial Gases India,RM003,1.55,10,250,7000,0.990,0.94
S009,PackBottle India,RM004,2.00,10,5000,500000,0.985,0.95
S010,PET Solutions,RM004,1.90,18,10000,700000,0.975,0.90
S011,FastBottle,RM004,2.15,6,5000,300000,0.995,0.98
S012,CapTech,RM005,0.32,10,5000,500000,0.990,0.96
S013,Closure Systems,RM005,0.30,14,10000,700000,0.980,0.93
S014,QuickCaps,RM005,0.36,5,5000,300000,0.997,0.985
S015,LabelWorks,RM006,0.11,7,10000,500000,0.990,0.97
S016,PrintPack,RM006,0.10,14,20000,700000,0.980,0.92
S017,ExpressLabels,RM006,0.13,4,10000,300000,0.998,0.985
S018,CartonWorks,RM007,8.20,7,500,50000,0.985,0.96
S019,PackPro,RM007,7.80,14,1000,70000,0.975,0.91
S020,QuickCarton,RM007,8.60,4,500,30000,0.995,0.985
S021,FilmPack,RM008,2.05,7,100,15000,0.990,0.96
S022,Flexible Packaging Ltd,RM008,1.90,14,500,20000,0.975,0.91
S023,FastFilm,RM008,2.20,4,100,10000,0.998,0.985
